Pavarde           Vardas            Egzaminas         Galutinis (Med.)  Galutinis (Vid.)
Pavarde187        Vardas187         6.00              6.40              6.56              
Pavarde188        Vardas188         7.00              6.20              6.36              
Pavarde189        Vardas189         10.00             9.20              8.80              
Pavarde190        Vardas190         6.00              6.80              6.48              
Pavarde195        Vardas195         5.00              5.00              5.24              
Pavarde197        Vardas197         7.00              7.40              6.76              
Pavarde198        Vardas198         6.00              5.20              5.76              
Pavarde199        Vardas199         9.00              9.00              8.68              
Pavarde200        Vardas200         9.00              6.60              6.68              
Pavarde201        Vardas201         8.00              7.60              7.52              
Pavarde202        Vardas202         7.00              7.40              7.32              
Pavarde203        Vardas203         5.00              4.60              5.48              
Pavarde204        Vardas204         7.00              7.40              6.84              
Pavarde207        Vardas207         8.00              6.80              6.72              
Pavarde208        Vardas208         4.00              5.20              5.12              
Pavarde209        Vardas209         9.00              7.00              7.16              
Pavarde211        Vardas211         6.00              6.40              6.16              
Pavarde212        Vardas212         8.00              7.20              6.96              
Pavarde213        Vardas213         5.00              6.20              5.64              
Pavarde216        Vardas216         7.00              6.60              6.84              
Pavarde217        Vardas217         7.00              8.20              8.04              
Pavarde218        Vardas218         5.00              5.40              5.16              
Pavarde219        Vardas219         9.00              7.80              7.16              
Pavarde220        Vardas220         10.00             8.80              8.64              
Pavarde222        Vardas222         7.00              6.20              6.28              
Pavarde223        Vardas223         4.00              6.00              5.28              
Pavarde224        Vardas224         5.00              5.00              5.16              
Pavarde225        Vardas225         5.00              5.00              5.00              
Pavarde226        Vardas226         7.00              7.40              7.00              
Pavarde230        Vardas230         6.00              5.60              5.68              
Pavarde231        Vardas231         10.00             7.60              7.28              
Pavarde232        Vardas232         7.00              7.80              6.84              
Pavarde234        Vardas234         9.00              7.40              7.56              
Pavarde235        Vardas235         6.00              5.20              5.20              
Pavarde236        Vardas236         8.00              7.20              7.12              
Pavarde238        Vardas238         8.00              7.60              7.68              
Pavarde240        Vardas240         8.00              6.80              6.64              
Pavarde241        Vardas241         8.00              6.80              6.80              
Pavarde242        Vardas242         8.00              7.20              7.20              
Pavarde243        Vardas243         9.00              7.40              7.40              
Pavarde244        Vardas244         6.00              6.40              6.08              
Pavarde245        Vardas245         10.00             8.40              8.56              
Pavarde248        Vardas248         7.00              7.00              6.36              
Pavarde249        Vardas249         7.00              6.20              6.20              
Pavarde250        Vardas250         7.00              5.40              5.32              
Pavarde251        Vardas251         8.00              6.00              6.32              
Pavarde252        Vardas252         9.00              7.80              7.88              
Pavarde253        Vardas253         6.00              4.80              5.28              
Pavarde254        Vardas254         9.00              9.00              8.52              
Pavarde255        Vardas255         4.00              5.60              5.52              
Pavarde257        Vardas257         5.00              5.00              5.16              
Pavarde262        Vardas262         10.00             8.40              8.08              
Pavarde263        Vardas263         6.00              6.40              6.16              
Pavarde264        Vardas264         9.00              7.80              8.20              
Pavarde266        Vardas266         5.00              6.60              6.28              
Pavarde267        Vardas267         8.00              6.80              6.72              
Pavarde268        Vardas268         10.00             8.00              7.84              
Pavarde270        Vardas270         4.00              6.00              5.68              
Pavarde271        Vardas271         10.00             7.60              7.84              
Pavarde276        Vardas276         9.00              7.80              7.32              
Pavarde281        Vardas281         6.00              6.00              6.08              
Pavarde282        Vardas282         8.00              6.80              6.88              
Pavarde284        Vardas284         6.00              6.40              6.08              
Pavarde286        Vardas286         6.00              6.80              5.76              
Pavarde290        Vardas290         5.00              5.80              5.96              
Pavarde291        Vardas291         6.00              5.60              5.68              
Pavarde292        Vardas292         6.00              5.20              5.52              
Pavarde293        Vardas293         10.00             8.80              8.88              
Pavarde294        Vardas294         6.00              6.80              6.00              
Pavarde296        Vardas296         5.00              5.80              5.48              
Pavarde297        Vardas297         8.00              6.40              6.48              
Pavarde298        Vardas298         9.00              7.40              7.80              
Pavarde301        Vardas301         6.00              4.80              5.12              
Pavarde302        Vardas302         10.00             7.20              7.44              
Pavarde303        Vardas303         4.00              5.60              5.12              
Pavarde306        Vardas306         9.00              7.80              7.48              
Pavarde307        Vardas307         10.00             8.40              8.08              
Pavarde308        Vardas308         8.00              7.60              7.28              
Pavarde311        Vardas311         8.00              7.20              6.88              
Pavarde317        Vardas317         9.00              6.60              7.08              
Pavarde318        Vardas318         10.00             9.60              8.56              
Pavarde319        Vardas319         10.00             7.60              7.28              
Pavarde321        Vardas321         10.00             8.40              8.80              
Pavarde322        Vardas322         6.00              6.40              6.48              
Pavarde324        Vardas324         4.00              5.20              5.04              
Pavarde325        Vardas325         6.00              6.00              5.84              
Pavarde327        Vardas327         5.00              6.20              5.88              
Pavarde329        Vardas329         8.00              8.00              7.76              
Pavarde330        Vardas330         10.00             6.80              7.04              
Pavarde331        Vardas331         6.00              4.80              5.20              
Pavarde334        Vardas334         10.00             9.20              9.12              
Pavarde335        Vardas335         6.00              6.00              6.48              
Pavarde339        Vardas339         5.00              5.80              5.48              
Pavarde340        Vardas340         10.00             7.20              7.60              
Pavarde341        Vardas341         4.00              6.00              5.60              
Pavarde342        Vardas342         9.00              9.00              8.76              
Pavarde343        Vardas343         8.00              8.00              7.84              
Pavarde345        Vardas345         10.00             9.20              9.12              
Pavarde346        Vardas346         9.00              7.40              7.48              
Pavarde347        Vardas347         7.00              7.00              6.84              
Pavarde349        Vardas349         7.00              6.60              6.36              
Pavarde350        Vardas350         5.00              5.40              5.32              
Pavarde353        Vardas353         7.00              6.60              6.52              
Pavarde355        Vardas355         9.00              7.00              7.00              
Pavarde357        Vardas357         6.00              6.80              6.80              
Pavarde358        Vardas358         8.00              5.60              6.00              
Pavarde361        Vardas361         10.00             8.80              8.96              
Pavarde362        Vardas362         5.00              5.40              5.48              
Pavarde363        Vardas363         5.00              5.80              5.40              
Pavarde365        Vardas365         5.00              6.20              5.88              
Pavarde370        Vardas370         9.00              7.40              7.08              
Pavarde371        Vardas371         4.00              5.60              5.20              
Pavarde373        Vardas373         4.00              5.60              5.12              
Pavarde375        Vardas375         5.00              6.20              5.56              
Pavarde381        Vardas381         6.00              7.20              6.48              
Pavarde383        Vardas383         8.00              7.20              7.20              
Pavarde384        Vardas384         9.00              7.00              7.16              
Pavarde385        Vardas385         9.00              7.00              7.16              
Pavarde386        Vardas386         9.00              6.60              7.08              
Pavarde387        Vardas387         10.00             7.60              7.68              
Pavarde388        Vardas388         6.00              5.60              5.92              
Pavarde390        Vardas390         5.00              5.80              5.32              
Pavarde392        Vardas392         10.00             8.00              8.08              
Pavarde393        Vardas393         10.00             7.60              8.00              
Pavarde394        Vardas394         7.00              6.60              6.60              
Pavarde397        Vardas397         7.00              5.80              5.72              
Pavarde398        Vardas398         6.00              6.40              6.24              
Pavarde399        Vardas399         10.00             8.00              8.40              
Pavarde400        Vardas400         8.00              7.20              7.28              
Pavarde401        Vardas401         7.00              5.80              6.28              
Pavarde403        Vardas403         9.00              7.00              7.00              
Pavarde404        Vardas404         6.00              5.20              5.28              
Pavarde406        Vardas406         9.00              7.00              7.24              
Pavarde407        Vardas407         9.00              8.60              8.52              
Pavarde409        Vardas409         6.00              5.20              5.84              
Pavarde410        Vardas410         4.00              6.40              5.92              
Pavarde411        Vardas411         5.00              6.20              5.96              
Pavarde412        Vardas412         4.00              5.20              5.44              
Pavarde414        Vardas414         8.00              8.40              7.44              
Pavarde415        Vardas415         8.00              6.00              6.32              
Pavarde418        Vardas418         8.00              7.20              7.36              
Pavarde420        Vardas420         5.00              5.40              5.08              
Pavarde422        Vardas422         8.00              7.20              7.12              
Pavarde424        Vardas424         8.00              6.00              6.16              
Pavarde427        Vardas427         5.00              6.20              5.80              
Pavarde428        Vardas428         9.00              8.20              8.04              
Pavarde431        Vardas431         6.00              6.40              6.64              
Pavarde432        Vardas432         9.00              8.60              8.44              
Pavarde434        Vardas434         9.00              8.20              7.72              
Pavarde435        Vardas435         7.00              7.00              6.68              
Pavarde436        Vardas436         10.00             6.80              8.00              
Pavarde438        Vardas438         8.00              7.20              6.72              
Pavarde439        Vardas439         9.00              8.60              7.80              
Pavarde440        Vardas440         5.00              5.40              5.32              
Pavarde441        Vardas441         7.00              7.00              6.52              
Pavarde442        Vardas442         6.00              6.40              5.84              
Pavarde443        Vardas443         9.00              6.20              7.24              
Pavarde447        Vardas447         10.00             8.00              8.08              
Pavarde448        Vardas448         6.00              7.20              7.04              
Pavarde449        Vardas449         4.00              6.00              5.76              
Pavarde451        Vardas451         6.00              5.60              5.68              
Pavarde453        Vardas453         5.00              5.80              5.48              
Pavarde455        Vardas455         8.00              6.40              6.88              
Pavarde458        Vardas458         4.00              6.00              5.76              
Pavarde460        Vardas460         9.00              7.00              7.32              
Pavarde461        Vardas461         8.00              6.80              6.56              
Pavarde462        Vardas462         8.00              6.80              6.64              
Pavarde463        Vardas463         9.00              7.40              7.48              
Pavarde464        Vardas464         8.00              8.40              7.60              
Pavarde465        Vardas465         9.00              6.60              6.68              
Pavarde467        Vardas467         7.00              5.80              5.72              
Pavarde469        Vardas469         10.00             8.80              8.32              
Pavarde470        Vardas470         4.00              5.20              5.04              
Pavarde471        Vardas471         9.00              7.80              7.88              
Pavarde472        Vardas472         9.00              8.60              8.28              
Pavarde476        Vardas476         7.00              6.20              6.60              
Pavarde478        Vardas478         10.00             8.80              8.24              
Pavarde479        Vardas479         6.00              5.20              5.28              
Pavarde481        Vardas481         5.00              5.80              5.96              
Pavarde484        Vardas484         9.00              7.40              7.64              
Pavarde486        Vardas486         10.00             8.00              8.08              
Pavarde487        Vardas487         10.00             7.60              7.52              
Pavarde488        Vardas488         7.00              5.40              5.40              
Pavarde489        Vardas489         5.00              6.20              6.12              
Pavarde491        Vardas491         7.00              6.20              5.96              
Pavarde492        Vardas492         10.00             8.40              8.40              
Pavarde493        Vardas493         8.00              7.60              7.04              
Pavarde495        Vardas495         5.00              5.40              5.56              
Pavarde496        Vardas496         8.00              7.60              6.96              
Pavarde501        Vardas501         7.00              5.40              6.04              
Pavarde502        Vardas502         6.00              6.00              5.76              
Pavarde504        Vardas504         7.00              5.40              5.88              
Pavarde505        Vardas505         7.00              5.80              6.04              
Pavarde506        Vardas506         5.00              5.40              5.00              
Pavarde508        Vardas508         10.00             7.60              7.68              
Pavarde513        Vardas513         6.00              7.60              6.88              
Pavarde516        Vardas516         6.00              4.80              5.44              
Pavarde518        Vardas518         6.00              4.80              5.20              
Pavarde519        Vardas519         10.00             10.00             9.20              
Pavarde520        Vardas520         9.00              8.20              7.88              
Pavarde523        Vardas523         9.00              7.40              7.72              
Pavarde525        Vardas525         7.00              6.60              6.36              
Pavarde526        Vardas526         8.00              7.60              7.12              
Pavarde530        Vardas530         6.00              6.40              6.16              
Pavarde531        Vardas531         7.00              6.60              6.76              
Pavarde532        Vardas532         6.00              6.40              6.40              
Pavarde533        Vardas533         7.00              6.60              6.76              
Pavarde534        Vardas534         8.00              8.40              8.00              
Pavarde535        Vardas535         9.00              9.40              8.20              
Pavarde536        Vardas536         6.00              6.40              6.16              
Pavarde537        Vardas537         5.00              5.80              5.72              
Pavarde538        Vardas538         4.00              5.60              5.28              
Pavarde539        Vardas539         6.00              6.00              5.84              
Pavarde541        Vardas541         8.00              6.00              6.80              
Pavarde542        Vardas542         3.00              5.40              5.24              
Pavarde543        Vardas543         7.00              7.80              7.40              
Pavarde544        Vardas544         10.00             7.60              7.92              
Pavarde545        Vardas545         8.00              7.20              7.20              
Pavarde546        Vardas546         9.00              6.20              7.24              
Pavarde549        Vardas549         8.00              8.00              7.28              
Pavarde550        Vardas550         7.00              6.60              6.28              
Pavarde551        Vardas551         9.00              7.00              7.08              
Pavarde553        Vardas553         5.00              5.00              5.08              
Pavarde554        Vardas554         10.00             9.20              8.64              
Pavarde555        Vardas555         5.00              6.20              5.88              
Pavarde556        Vardas556         8.00              7.60              7.20              
Pavarde557        Vardas557         6.00              5.60              5.60              
Pavarde559        Vardas559         10.00             7.60              7.84              
Pavarde561        Vardas561         8.00              6.80              6.96              
Pavarde563        Vardas563         9.00              8.20              8.28              
Pavarde564        Vardas564         9.00              7.00              7.00              
Pavarde566        Vardas566         10.00             7.60              7.84              
Pavarde568        Vardas568         5.00              5.00              5.40              
Pavarde569        Vardas569         9.00              7.00              7.48              
Pavarde570        Vardas570         5.00              5.80              5.80              
Pavarde573        Vardas573         5.00              5.40              5.40              
Pavarde577        Vardas577         7.00              5.80              5.72              
Pavarde578        Vardas578         8.00              6.40              6.72              
Pavarde579        Vardas579         8.00              6.40              6.64              
Pavarde581        Vardas581         10.00             7.20              7.60              
Pavarde584        Vardas584         10.00             7.60              7.84              
Pavarde585        Vardas585         7.00              5.80              5.80              
Pavarde587        Vardas587         9.00              8.20              8.04              
Pavarde588        Vardas588         10.00             8.40              8.32              
Pavarde589        Vardas589         6.00              6.80              6.00              
Pavarde590        Vardas590         8.00              8.00              7.68              
Pavarde592        Vardas592         6.00              6.80              6.08              
Pavarde593        Vardas593         9.00              7.40              7.72              
Pavarde594        Vardas594         6.00              4.80              5.28              
Pavarde598        Vardas598         6.00              6.40              6.00              
Pavarde602        Vardas602         6.00              6.00              5.92              
Pavarde603        Vardas603         7.00              7.80              7.72              
Pavarde604        Vardas604         7.00              7.40              6.68              
Pavarde605        Vardas605         10.00             8.00              7.68              
Pavarde606        Vardas606         10.00             9.60              9.12              
Pavarde607        Vardas607         9.00              7.40              7.16              
Pavarde608        Vardas608         8.00              6.00              6.56              
Pavarde609        Vardas609         10.00             8.00              8.32              
Pavarde611        Vardas611         10.00             7.60              8.16              
Pavarde612        Vardas612         6.00              6.00              6.08              
Pavarde613        Vardas613         10.00             9.20              9.20              
Pavarde618        Vardas618         6.00              6.00              5.92              
Pavarde621        Vardas621         9.00              7.40              7.72              
Pavarde622        Vardas622         7.00              5.80              6.04              
Pavarde623        Vardas623         9.00              6.20              6.36              
Pavarde628        Vardas628         10.00             6.80              6.88              
Pavarde629        Vardas629         9.00              7.80              7.96              
Pavarde636        Vardas636         7.00              5.80              6.04              
Pavarde639        Vardas639         10.00             8.00              8.32              
Pavarde640        Vardas640         9.00              6.20              6.92              
Pavarde642        Vardas642         3.00              5.00              5.00              
Pavarde644        Vardas644         6.00              5.60              5.36              
Pavarde645        Vardas645         6.00              6.00              5.68              
Pavarde646        Vardas646         5.00              5.00              5.08              
Pavarde649        Vardas649         7.00              6.60              6.68              
Pavarde650        Vardas650         5.00              5.80              5.88              
Pavarde651        Vardas651         8.00              8.00              7.60              
Pavarde652        Vardas652         9.00              8.20              7.64              
Pavarde653        Vardas653         10.00             8.00              7.68              
Pavarde655        Vardas655         7.00              6.20              6.36              
Pavarde659        Vardas659         8.00              8.40              8.16              
Pavarde661        Vardas661         7.00              5.80              5.72              
Pavarde662        Vardas662         8.00              8.00              8.08              
Pavarde665        Vardas665         8.00              7.20              6.88              
Pavarde666        Vardas666         10.00             8.40              8.48              
Pavarde668        Vardas668         5.00              4.60              5.08              
Pavarde670        Vardas670         5.00              6.20              5.64              
Pavarde671        Vardas671         6.00              6.40              6.32              
Pavarde672        Vardas672         10.00             7.20              8.00              
Pavarde673        Vardas673         6.00              6.00              6.08              
Pavarde674        Vardas674         6.00              6.00              5.68              
Pavarde678        Vardas678         9.00              7.00              7.40              
Pavarde679        Vardas679         9.00              8.60              8.52              
Pavarde680        Vardas680         3.00              5.00              5.08              
Pavarde681        Vardas681         7.00              6.20              5.96              
Pavarde682        Vardas682         8.00              6.40              6.56              
Pavarde684        Vardas684         8.00              6.80              7.12              
Pavarde685        Vardas685         7.00              5.40              5.64              
Pavarde686        Vardas686         7.00              6.60              6.76              
Pavarde687        Vardas687         5.00              5.40              5.08              
Pavarde688        Vardas688         5.00              5.40              5.80              
Pavarde689        Vardas689         9.00              7.40              6.84              
Pavarde691        Vardas691         10.00             7.60              7.68              
Pavarde694        Vardas694         9.00              7.00              7.24              
Pavarde695        Vardas695         10.00             8.00              8.24              
Pavarde696        Vardas696         9.00              9.00              8.28              
Pavarde697        Vardas697         9.00              8.60              8.28              
Pavarde700        Vardas700         4.00              6.00              5.20              
Pavarde702        Vardas702         10.00             8.00              8.08              
Pavarde703        Vardas703         4.00              6.00              5.28              
Pavarde705        Vardas705         10.00             7.20              7.76              
Pavarde707        Vardas707         6.00              6.40              6.64              
Pavarde708        Vardas708         7.00              7.40              6.68              
Pavarde710        Vardas710         5.00              5.40              5.16              
Pavarde711        Vardas711         7.00              5.40              5.96              
Pavarde712        Vardas712         5.00              5.80              5.88              
Pavarde714        Vardas714         7.00              6.60              6.36              
Pavarde715        Vardas715         8.00              8.40              7.44              
Pavarde716        Vardas716         8.00              6.40              6.80              
Pavarde717        Vardas717         6.00              6.00              6.08              
Pavarde718        Vardas718         6.00              6.80              5.84              
Pavarde719        Vardas719         8.00              7.60              7.20              
Pavarde720        Vardas720         4.00              5.20              5.04              
Pavarde722        Vardas722         8.00              6.80              6.48              
Pavarde723        Vardas723         7.00              6.60              6.28              
Pavarde725        Vardas725         5.00              5.00              5.00              
Pavarde727        Vardas727         5.00              4.60              5.00              
Pavarde730        Vardas730         10.00             7.60              8.00              
Pavarde731        Vardas731         9.00              8.20              7.72              
Pavarde733        Vardas733         7.00              5.40              5.80              
Pavarde735        Vardas735         4.00              5.60              5.20              
Pavarde737        Vardas737         10.00             7.60              7.92              
Pavarde739        Vardas739         7.00              7.40              6.52              
Pavarde741        Vardas741         10.00             9.20              8.96              
Pavarde746        Vardas746         8.00              6.00              6.64              
Pavarde747        Vardas747         7.00              5.00              5.16              
Pavarde749        Vardas749         7.00              5.40              5.72              
Pavarde750        Vardas750         6.00              5.60              5.52              
Pavarde753        Vardas753         6.00              6.80              6.64              
Pavarde754        Vardas754         8.00              5.20              5.60              
Pavarde755        Vardas755         8.00              8.80              7.92              
Pavarde757        Vardas757         10.00             7.60              7.76              
Pavarde758        Vardas758         10.00             9.20              9.20              
Pavarde759        Vardas759         9.00              7.80              8.04              
Pavarde760        Vardas760         7.00              5.40              6.36              
Pavarde761        Vardas761         6.00              4.80              5.84              
Pavarde762        Vardas762         10.00             8.80              8.48              
Pavarde763        Vardas763         9.00              7.80              7.40              
Pavarde764        Vardas764         10.00             7.60              7.92              
Pavarde765        Vardas765         9.00              8.60              8.12              
Pavarde767        Vardas767         8.00              7.60              7.52              
Pavarde769        Vardas769         7.00              7.00              7.16              
Pavarde772        Vardas772         10.00             7.60              7.84              
Pavarde773        Vardas773         7.00              6.20              6.12              
Pavarde774        Vardas774         8.00              6.00              6.24              
Pavarde777        Vardas777         6.00              5.60              5.36              
Pavarde779        Vardas779         7.00              5.80              6.20              
Pavarde780        Vardas780         7.00              7.80              7.08              
Pavarde783        Vardas783         4.00              5.20              5.20              
Pavarde784        Vardas784         9.00              6.60              6.84              
Pavarde786        Vardas786         9.00              8.20              8.04              
Pavarde787        Vardas787         10.00             8.00              7.92              
Pavarde788        Vardas788         7.00              7.40              6.68              
Pavarde789        Vardas789         8.00              7.60              7.52              
Pavarde791        Vardas791         6.00              7.20              6.80              
Pavarde792        Vardas792         8.00              7.60              7.52              
Pavarde793        Vardas793         9.00              7.80              7.72              
Pavarde794        Vardas794         8.00              6.40              6.72              
Pavarde795        Vardas795         7.00              5.80              6.20              
Pavarde796        Vardas796         7.00              5.80              6.20              
Pavarde797        Vardas797         8.00              8.00              7.44              
Pavarde798        Vardas798         6.00              4.40              5.28              
Pavarde799        Vardas799         7.00              6.20              6.36              
Pavarde800        Vardas800         9.00              7.40              7.48              
Pavarde802        Vardas802         7.00              5.80              5.80              
Pavarde804        Vardas804         6.00              6.00              5.68              
Pavarde809        Vardas809         7.00              7.40              7.16              
Pavarde811        Vardas811         7.00              7.00              6.60              
Pavarde813        Vardas813         7.00              5.00              5.64              
Pavarde814        Vardas814         10.00             9.60              8.80              
Pavarde815        Vardas815         9.00              6.20              6.28              
Pavarde816        Vardas816         6.00              5.20              5.52              
Pavarde817        Vardas817         6.00              6.40              5.92              
Pavarde820        Vardas820         10.00             8.40              7.92              
Pavarde821        Vardas821         10.00             6.40              7.28              
Pavarde824        Vardas824         6.00              6.80              6.08              
Pavarde827        Vardas827         8.00              5.60              6.48              
Pavarde828        Vardas828         5.00              5.40              5.64              
Pavarde831        Vardas831         6.00              4.80              5.52              
Pavarde832        Vardas832         8.00              7.60              7.52              
Pavarde835        Vardas835         9.00              7.40              7.40              
Pavarde836        Vardas836         9.00              7.80              7.72              
Pavarde837        Vardas837         6.00              6.40              6.48              
Pavarde838        Vardas838         7.00              6.60              6.12              
Pavarde839        Vardas839         8.00              8.40              8.16              
Pavarde840        Vardas840         9.00              7.40              7.64              
Pavarde841        Vardas841         9.00              8.20              8.20              
Pavarde843        Vardas843         9.00              7.00              6.68              
Pavarde844        Vardas844         7.00              5.40              5.96              
Pavarde845        Vardas845         9.00              7.80              7.40              
Pavarde846        Vardas846         6.00              4.40              5.52              
Pavarde848        Vardas848         9.00              7.40              7.80              
Pavarde849        Vardas849         5.00              5.80              5.96              
Pavarde852        Vardas852         8.00              7.60              7.60              
Pavarde853        Vardas853         10.00             9.60              8.48              
Pavarde854        Vardas854         8.00              6.80              7.12              
Pavarde855        Vardas855         7.00              5.80              6.04              
Pavarde856        Vardas856         9.00              6.60              6.68              
Pavarde857        Vardas857         5.00              5.40              5.80              
Pavarde858        Vardas858         10.00             8.00              7.68              
Pavarde859        Vardas859         4.00              5.20              5.20              
Pavarde862        Vardas862         7.00              7.40              7.08              
Pavarde863        Vardas863         9.00              8.60              8.36              
Pavarde864        Vardas864         10.00             9.20              9.20              
Pavarde867        Vardas867         7.00              5.00              5.48              
Pavarde868        Vardas868         6.00              5.20              5.44              
Pavarde869        Vardas869         8.00              6.80              6.96              
Pavarde870        Vardas870         7.00              5.40              5.48              
Pavarde871        Vardas871         9.00              6.20              6.92              
Pavarde872        Vardas872         9.00              7.40              7.72              
Pavarde873        Vardas873         6.00              6.40              6.32              
Pavarde874        Vardas874         7.00              6.20              6.44              
Pavarde877        Vardas877         10.00             9.20              8.88              
